Belgien 1918              Ga
Bonnebladen 1865                                  Nt
Dutch Topographical & Military Map 1850           Nu
Rostock_Tarnow_1790                               Nv
Rostock_1788                                      Nw
Rostock Wiebeking 1786                            Nx
Wien 1684                                         Ny
Gent 1841                                         Nz
Schweiz 1941-1964                                 Oa
Duhamel-Atlas					  Ob
Atlas Fourcy (Paris)				  Oc
Heimatkarte Saargebiet 1927                       Od
Mines_D_Anzin                                     Oe
Oberschlesisches Steinkohlebecken 1902		  Of
Stockholm 1861                                    Og
Göteborg 1888                                     0h
Zürich 1793 (Müllerplan)                          Oi
Zürich 1900                                       Oj
Zürich 1864 (Kellerplan)                          Ok
Zürich 1860                                       Ol
TayNinh 1898                                      Om
New London County Baker 1854                      On
Fairfield County Chace 1856, Hartford County Woodford 1855  Op
Litchfield County Hopkins 1854, Windham County Woodford 1856 Oq
Polen 1920                                        Or
Frankreich 1799                                   Os
Egypt 1885                                        Ot
Brasil 1911                                       Ou
yogoslawien                                       Ov
Finmarken 1861                                    Ow
Memorial Atlas of Ireland 1901                    Ox
Ireland British War Office                        Oy
Leipzig 1850-1892                                 Oz

Eestimaa füüsiline kaart (1922)                   Va
Japan 1890                                        Vb
Spezialkarte der osterreichisch-ungarischen Monarchie     Vc
Digital Map of the Roman Empire                   Vd
Sächsische_Kantoneinteilung_(1814)                Ve
Tel Aviv 1936                                     Vf
Topographische Karte über das Grossherzogthum Baden  Vg
Atlas_Tyrolensis                                  Vh
Verkehrskarte Magdeburg 1922                      Vi
Carte industrielle de la région parisienne        Vj
Reisekarte Deutschland 1859                       Vk
Ostbelgien Grenze                                 Vl
Ostbelgien Grenze 1936                            Vm
Westrussland 1905                                 Vn
Schmettau 1787 Brandenburg                        Vo
Sachsen 1857                                      Vp
Krasna                                            Vq
Sitzenrodaer-Forst 1780                           Vr
Sächsische Meilenblätter                          Vs
Emmental 1940                                     Vt
Karamurat 1940                                    Vu
Hokkaido 1892                                     Vv
Püttlingen - 1822                                 Vw
MTB3548 und 3549 Saarbruecken/St. Johann 1887/82  Vx
Carte GeoFR 161 Pfalz von 1770                    Vy
Ostfrankreich-Vogesen Hachette 1892               Vz
Püttlingen Tractus 1784                           Wa
Püttlingen - Tractus Karte 1759                   Wb
Herchenbach - Tractus Karte 1807-1809             Wc
Saarland Ur-Messtischblätter Ausgabe 1843-1878    Wd
Saarland Preußische Generalstabskarte 1816-1847   We
Saarland Tranchot und von Müffling 1801-1820      Wf
Saarland Bayrische Originalpositionsblätter 1836-1841  Wg
Saarland Top. Karte 1:25000 1935-1940             Wh
Wehrden Tractus 1755				  Wi
Geislautern Tractus				  Wj
Fürstenhausen					  Wk
Völklingen 1823					  Wl

Marker                   Sa
TK25                     Sb
TK50                     Sc
TK100                    Se
TK200                    Sg
Distance                 Sd
Uebersichtskarte         Sf
Kompass                  Sk
Tooltipschalter          Sn
Routing                  Sr
Geolocation              Sl
Zeichenwerkzeuge         Sz

DTK200-V                                      Ka
Bundesamt für Kartographie und Geodäsie 2017  Kb
OpenCycleMap             Kc
OSM deutscher Stil       Kd
OSM style français       Kf
Hike & Bike Map          Kh
Landscape                Kl
mapnik                   Km
OpenTopoMap              Kp
MapQuestOpen             Kq
Reit- und Wanderkarte    Kr
Pioneer                  Ks
TransportMap             Kt
Outdoors                 Ku
No Background            Kv
Mapnik b/w               Kw
OSM Japan                Kx
Neighbourhood            Ky
OpenRailwayMap           Kz

Inline-Skating           Li
Mountainbike             Lm
Radwege                  Lr
Wanderwege               Lw
Reiten                   Lj




ausgedehnte Objekte     Ha
Labels-Regionen         Hb
Labels-Admin            Hc
Regionsgrenzen          Hd
Einzelobjekte           He
Eisenbahnen             Hr
Straßen                 Hs
Historische Grenzen     Hg
